2.91142,1.95571,17,2,1.04429,1.04429,4,1,2.04429,1,2,892.0755,2.04429,1,1.95571,2,13.643474,1.08858,0.04428996,1.04429,2,1
3,2,17,2,1,2,3,2,1,1,2,1100,1,1,2,2,2.8333,3,1,2,2,1
1.381464,1,17.38146,2,2,2,3.237071,1,2.237071,1,2,2562.9289,2.237071,1,1.381464,2,6.194034,3,1,2,2,1
1,1,20,2,1,1,4,1,3,1,2,930,3,1,2,2,10.6,2,0,2,2,0
1,2,17,2,1,1,3,1,2,1,2,700,2,1,2,2,9,3,1,2,2,0
1.802703,1,17.8027,2,2,2,2.394594,1,1.394594,1,2,3405.4061,1.394594,1,1.802703,2,5.469672,3,1,2,2,1
2,1,18,2,1,1,3,2,2,1,2,850,2,1,1,2,9.5652,3,1,2,2,0
1,2,17,2,1,1,2,1,1,4,2,2650,1,1,2,2,13.3,1,0,1,1,0
2,1,18,2,1,1,2,1,2,1,2,1950,1,1,2,2,12.087,2,0,2,2,0
2,1,20,2,1,1,3,2,3,1,1,1350,4,2,2,2,15.6522,1,0,1,1,0
1,2,19,2,1,1,4,1,1,1,2,1500,1,1,1,2,9.5,3,1,2,2,0
2,1,18,2,1,1,2,1,2,1,2,1950,1,1,2,2,12.087,2,0,2,2,0
2,1,18,2,2,1,4,1,1,4,2,1600,1,1,2,2,12.3478,2,0,1,2,0
1,2,17,2,1,1,4,1,4,1,2,1000,3,1,2,2,9.25,3,1,2,2,0
1,2,17,2,1,1,4,1,4,1,2,1000,3,1,2,2,9.25,3,1,2,2,0
1,1,17,2,1.937766,1.937766,4,1,2.875532,1,2,1719.096,2.875532,1,1.062234,2,6.554389,3,1,2,2,1
1,1,17,2,2,2,4,1,3,1,2,1800,3,1,1,2,6.85,3,1,2,2,1
3,2,18,2,1,1,4,2,4,1,2,500,1,1,2,2,14.75,1,0,1,1,0
1.150926,1.075463,17,2,1.924537,1.924537,4,1,2.924537,1,2,1728.3103,2.924537,1,1.075463,2,7.386413,2.849074,0.92453712,1.924537,2,1
2,1,22,2,1,2,4,1,4,1,2,1100,4,1,1,2,14.4348,1,0,1,1,0
1,2,19,2,1,1,4,1,1,1,2,1500,1,1,1,2,9.5,3,1,2,2,0
1,1,20,2,1,1,4,1,3,1,2,930,3,1,2,2,10.6,2,0,2,2,0
1,1,17,2,1,1,4,1,1,1,2,500,1,1,2,2,2.1,3,1,2,2,1
1,2,17,2,1,1,2,1,1,1,2,1500,1,1,1,2,14.05,1,0,1,1,0
1,1,17,2,2,2,4,1,3,1,2,1800,3,1,1,2,6.85,3,1,2,2,1
2.588615,1.794307,17,2,1,1,4,1,1.794307,1,2,778.0076,1.794307,1,2,2,11.519136,1.411385,0.20569255,1.205693,2,1
3,2,17,2,1,1.89328,3.10672,1.89328,1.10672,1,2,1073.3201,1.10672,1,2,2,4.020556,2.786561,0.89328039,1.89328,2,1
1,2,19,2,1,1,3,2,2,3,2,3600,2,1,2,1,12.8,2,0,1,1,0
1,1,17,2,1,1,4,1,1,1,2,500,1,1,2,2,2.1,3,1,2,2,1
3,2,18,2,1,1,4,2,4,1,2,500,1,1,2,2,14.75,1,0,1,1,0
3,2,18,2,1,1,4,2,4,1,2,500,1,1,2,2,14.75,1,0,1,1,0
1.630816,1.315408,17,2,1,1.315408,3.684592,1.315408,1,1,2,689.2448,1,1,2,2,2.331289,3,1,2,2,1
2.412981,1.70649,17,2,1.29351,1.29351,3.29351,1.70649,3,1,1.29351,1199.4832,3,1,1,2,4.483257,3,1,2,2,1
2,1,18,2,1,1,2,1,2,1,2,1950,1,1,2,2,12.087,2,0,2,2,0
2,1,18,2,2,2,2,1,1,1,2,3800,1,1,2,2,5.1304,3,1,2,2,1
2,2,18,2,1,1,3,2,2,3,2,500,2,1,2,2,13.5217,1,0,1,2,0
1,2,17,2,1,1,4,1,3,1,2,1000,3,1,2,2,7.7,3,1,2,2,0
3,2,17,2,1,1,3,2,3,1,1,950,3,1,1,2,3.5,3,1,2,2,1
1,2,18,2,1,1,4,1,2,1,2,1200,1,1,2,2,13.05,1,0,1,1,0
1,2,17,2,1,1,2,1,1,1,2,1500,1,1,1,2,14.05,1,0,1,1,0
2.201416,1.600708,17,2,1,1,3.399292,1.600708,2.201416,1,1.399292,770.3187,2.201416,1,1.399292,2,2.940991,3,1,2,2,1
3,2,17,2,1,1,4,1,2,1,2,850,2,1,2,2,13.9583,1,0,1,2,1
